MessageID,MessageType,MessageBody,Timestamp
"1374","recieved","u got another mail for facebook promo","1347599970"
"989","recieved","peep it","1329944380"
"1878","sent","independent contracting alone can make you bank","1374123275"
"1806","recieved","you guys always fuck me over","1363650539"
"1253","recieved","co to","1336511606"
"892","recieved","fuck facebook","1328591321"
"1469","recieved","i know","1347943432"
"364","sent","hell no","1320820380"
"1589","recieved","which one u get","1355165860"
"532","recieved","relax weezy","1323665628"
"1805","recieved","ye probably ","1363650531"
"1373","sent","i wanna eat that kielbasa though","1347599894"
"1733","recieved","3. when did i start being cocky","1359689246"
"1877","sent","get out to cali then nigga!\","1374123210"
"1252","sent","http://youtu.be/kG-OWJB75vs","1336511584"
"891","sent","all my cs friends got internships w/ facebook no joke","1328591240"
"988","recieved","http://www.mediafire.com/download.php?ljkgl98k7zcog5p","1329944379"
"1468","sent","so many hos thirsty for barn dance this year bro","1347943371"
"363","recieved","youre saying you cant get $2 from each member to pay for design?","1320820373"
"1588","sent","Left shift key fucked up","1355165830"
"531","sent","hyfr","1323665593"
"1804","sent","u wanna make a single web flyer for VIP treatment?","1363650500"
"1372","sent","or make it behind the font","1347599877"
"1732","sent","3. don't be cocky","1359689232"
"1876","sent","nice","1374123190"
"1251","sent","thought it was you","1335850553"
"890","sent","right now, i wish i was doing computer science than engineering","1328591231"
"987","recieved","awesome","1329805045"
"1467","sent","hell yeah","1347943351"
"362","sent","theyre included in dues","1320820347"
"1587","sent","I need to go to apple care","1355165817"
"530","recieved","retrobyte is that shit","1323665492"
"1803","sent","cuz we never had 2 in one year before","1363650463"
"1371","sent","but tone it down jus a lil ?","1347599825"
"1731","sent","2. i agree","1359689222"
"1875","recieved","i am","1374123175"
"1250","sent","seeing all these pierogis up in it","1335850550"
"889","recieved","i know","1328591224"
"986","sent","better than any party at izas place","1329805035"
"1466","recieved","and throw bitches inside","1347943308"
"361","sent","+- 60","1320820344"
"1586","sent","I got a mbp ","1355165797"
"529","sent","http://www.youtube.com/watch?v=Wfg6b3fzoe4","1323665453"
"1802","recieved","why ptII","1363650456"
"1370","sent","w/e bitches already love it","1347599804"
"1730","sent","1. okay","1359689219"
"1874","sent","you should be a ux designer","1374123167"
"1249","sent","came across it today","1335850540"
"888","sent","its a better field than graphic design imo","1328591210"
"985","sent","bro, crazy as fuck","1329805025"
"1465","recieved","and put kielbasas in there","1347943308"
"360","recieved","and how much you selling them for","1320820341"
"1585","sent","Gay","1355165787"
"528","recieved","i believe you lol","1323665356"
"1801","sent","(low key announcement soon)","1363650448"
"1369","sent","yeah it makes it hard to read tho","1347599800"
"1729","recieved","2. their designs suck balls","1359689187"
"1873","sent","i only smoke medical","1374030880"
"1248","sent","jw","1335850536"
"887","recieved","and best buy helps you out with tuition","1328591195"
"984","recieved","but then changed my mmind","1329804991"
"1464","recieved","lettem bounce","1347943306"
"359","recieved","how many shirts are you getting printed","1320820335"
"1584","recieved","gay","1355165781"
"527","sent","man you gotta go, that shits fun","1323665328"
"1800","sent","apr 13th","1363650442"
"1368","recieved","dont trip","1347599776"
"1728","recieved","1. no","1359689182"
"1872","sent","https://soundcloud.com/culturecode/young-london-broken-cc-remix","1373140028"
"1247","recieved","lol why","1335850531"
"886","recieved","my current supervisor is doing that","1328591174"
"983","recieved","i was gonna come","1329804986"
"1463","recieved","im down","1347943186"
"358","sent","at least 50 that officially paid dues, 150-200 that make it out to events","1320820310"
"1583","recieved","cuz u gotta pay deductible","1355165779"
"526","recieved","idk never got the chance","1323665046"
"1799","sent","barn dance PT II","1363650436"
"1367","recieved","its gonna catch attention","1347599775"
"1727","recieved","lol","1359689171"
"1871","sent","http://www.aboveandbeyond.nu/events/9648","1373042545"
"1246","sent","cool","1335850351"
"885","recieved","yea","1328591165"
"982","sent","apt crawl was crazy as FUCK","1329804927"
"1462","sent","shit would be baller","1347943178"
"357","recieved","?","1320820177"
"1582","sent","Why","1355165770"
"525","sent","wtf why not?","1323664971"
"1798","sent","get ready","1363650433"
"1366","recieved","sucks","1347599767"
"1726","sent","if you're tryin to design somethin for ragetracks as a favor, then you'll be out of luck","1359688986"
"1870","recieved","Edc dumbass","1371184704"
"1245","recieved","my friend runs it","1335850255"
"884","sent","advertising?","1328591159"
"981","sent","he just did a feature w/ rapgenius though","1329803031"
"1461","sent","bro what if we get a bouncy castle for barn dance","1347943159"
"1581","recieved","apple care is gay","1355165762"
"524","recieved","skiiiiid","1323664822"
"1797","recieved","cool","1363650416"
"1365","sent","white flash still burns my eyes","1347599756"
"1725","sent","yo heads up","1359688969"
"1869","sent","same shit","1371183595"
"1244","sent","what is this grouched shit","1335850241"
"883","sent","studying what?","1328591156"
"980","sent","idk if my buddys on hypem, prolly not","1329803025"
"1460","recieved","he insane","1347943118"
"1580","sent","Btw you an apple care specialist?","1355165754"
"523","recieved","never skid","1323664816"
"1796","sent","but i got the mobile dev job as a backup","1363650151"
"1364","sent","do we wanna change campfires to hayrides?","1347599714"
"1724","sent",";)","1359668589"
"1868","sent","spring awakening","1371183594"
"1243","sent","lol nigguh","1335850233"
"882","sent","damn thats a lot of cash bro","1328591144"
"979","sent","LOL yeah go for it","1329803019"
"1459","sent","lol that crazy ass nigguh","1347943098"
"1579","recieved","ha","1355165739"
"522","sent","get hammered on slopes","1323664746"
"1795","sent","prolly won't get it, i'm going over all this database shit its hard as fuck","1363650147"
"1363","sent","dajesz Ł kurwa","1347599625"
"1723","recieved","i will gayboy","1359668545"
"1867","sent","you goin to edc?","1371183568"
"1242","sent","i'll get em to win anyway dont worry","1335388491"
"881","recieved","goal is to be at columbia college asap","1328591126"
"978","recieved","i think ill just rip thru hypem and find some","1329803011"
"1458","recieved","ya he tol me","1347943085"
"1578","sent","I'll share vgfx's statis for complimentary design","1355165724"
"356","recieved","how many members are in zagloba","1320820089"
"1794","recieved","good job","1363650100"
"1362","sent","kk","1347599418"
"1722","sent","keep me posted","1359668484"
"1866","sent","of course","1369692465"
"521","sent","yo lets do ski trip","1323664743"
"1241","sent","lolz","1335388485"
"880","sent","ill come visit you","1328591121"
"977","recieved","well thats why im asking for some indie shit","1329802999"
"1457","sent","yo you hear that i met up isael at lolla and we chilled at the hilton?","1347943076"
"1577","sent","najs","1354816698"
"355","recieved","lmfao","1320819792"
"1793","sent","micro$oft flying me out all expenses paid","1363650052"
"1361","recieved","kurwa ok hold on","1347599412"
"1721","sent","i gotta roll programming class is over","1359668481"
"1865","recieved","You talkin bout dem dick dispensaries","1369692429"
"520","sent","oh milwaukee the 7th","1323664576"
"352","sent","sent","1320819587"
"976","sent","you can send it to my buddys blog just dont drop my name, he takes his shit kinda serious","1329802986"
"759","recieved","i need clever ad campaign for voygraphics","1327472998"
"351","recieved","look on my business card","1320819492"
"1119","recieved","wtf","1333136660"
"353","sent","im disappointed as to the lack of talent here at zagloba","1320819673"
"663","sent","bitch fuck you okay goddamn","1324875919"
"62","recieved","I'm at armin van Buuren now slut","1306040099"
"975","sent","thats like top though they wont look at you i dont think","1329802968"
"354","sent","if you dont know how to do shit, nie bierz sie za to","1320819695"
"591","sent","he runs their site","1323667322"
"758","recieved","yet","1327469862"
"278","sent","yeeee","1316665037"
"1118","recieved","its 2012 kid has no texting","1333136659"
"662","recieved","do it in one sentence","1324875909"
"61","recieved","I'm at armin van Buuren now slut","1306040099"
"974","sent","pigeons and planes","1329802960"
"277","recieved","Cool whip","1316665032"
"590","sent","http://www.asapmob.com/","1323667320"
"757","sent","this aint goin on billboards","1327469682"
"1117","sent","hes gonna be there like 10 1030","1333136597"
"661","sent","i was thinking about that","1324875908"
"60","sent","oh i got you.","1302309748"
"973","sent","LOL ","1329802957"
"276","sent","my buddy out in boston who fucks w/ dub","1316665022"
"589","sent","yeah mostly asap","1323667319"
"756","sent","naw its small detail","1327469675"
"1116","sent","holler @ dan skwirut 708.705.0492, call him he doesnt have texting","1333136592"
"660","recieved","youre typing","1324875904"
"59","recieved","New iPhone app version that's why","1302308867"
"972","recieved","what are some good hip hop blogs that i can send tracks to for promotion","1329802933"
"275","recieved","Spoko. Who made it","1316665000"
"588","recieved","wtf he talks to them?","1323667306"
"755","recieved","ight broski","1327469668"
"1115","sent","you got it","1333136571"
"659","sent","cool","1324875902"
"58","sent","that was in chat apparently shit is fucking up","1302308444"
"971","sent","yo wattup","1329802883"
"274","sent","mp3 rmx","1316664972"
"587","recieved","yea i would be so down","1323667301"
"754","recieved","damn","1327469665"
"399","recieved","What bullshit","1323055497"
"1114","recieved","whats the word","1333136452"
"658","recieved","if","1324875902"
"57","recieved","U mashed me first saying tiesto","1302308419"
"970","recieved","YO","1329802873"
"273","recieved","Flashback. Calvin Harris remix or clip of video","1316664960"
"586","sent","but he knows like asap rocky, drake, etc","1323667298"
"753","sent","DON'T","1327469653"
"398","sent","lemme know if you wanna deal with my bullshit lmaoo","1323055470"
"1113","recieved","kkk","1333135934"
"657","recieved","im goin to avicii in wisconisn too","1324875898"
"56","recieved","Huh","1302306909"
"969","sent","the shit you throw away","1329454784"
"272","sent","lol naw","1316664935"
"585","sent","thats what my friends doin","1323667289"
"392","recieved","i jacked","1320820711"
"752","sent","I DONT ALWAYS GET MY GUITAR FIXED....","1327469650"
"397","sent","yo wojtus, i sent some bullshit over to your voygraphics email","1323055462"
"1112","sent","h/o lemme make sure everythings going to plan","1333135919"
"656","sent","destoryed my sennheiser hd 25 cable","1324875897"
"55","sent","Naw I rather wait....","1286557154"
"968","sent","its like, on the cardboard backing","1329454780"
"271","recieved","New Wolfgang maybe ? Lol","1316664930"
"584","sent","you can do like, college of media, advertising","1323667285"
"391","recieved","no","1320820707"
"751","recieved","what punctioation","1327469620"
"396","recieved","good lol","1320821576"
"1111","recieved","aight","1333135882"
"655","sent","i fuckin","1324875889"
"54","recieved","I'll contact the record label but I'll leave the suckin d to you","1286557071"
"967","recieved","u sure it wont be seen?","1329454767"
"270","sent","dont sweat it check it latr","1316664928"
"583","sent","so many people in this library its crazy","1323667265"
"390","sent","u goin to dada this weekend?","1320820697"
"750","sent","DON'T**","1327469594"
"395","sent","imma leave before skrillex comes on though","1320821159"
"1110","sent","ill give you his number","1333135875"
"654","sent","lol","1324875884"
"53","sent","nice song, but its not released yet sorry wojtus.please contact deep dish records and be ready to suck some D.","1286543196"
"966","recieved","nice","1329454760"
"269","recieved","What is it I'm on my phone not home now","1316664914"
"582","sent","man, when exams come though everyones on the grind","1323667251"
"389","sent","i couldnt move 2 feet into tbarn dance  w/out at least 15 people saying whattup","1320820677"
"749","sent","DONT'T","1327469590"
"394","sent","me and piotr hittin it up!","1320820737"
"1109","recieved","how am i gonna get it from him","1333135841"
"653","recieved","true","1324875879"
"52","recieved","..TO FIND THIS TRACK (no rips) SHARAM-FUNif you do, i will arrange 3 [clean&sexy]asian hookers delivered straight to your dorm room","1286533215"
"965","sent","that just prints thier logo on the back, which you dont even see when the sticker is applied","1329454751"
"268","sent","check that out","1316664890"
"581","recieved","id be smoking weed all the time and partying","1323667225"
"388","recieved","lmao","1320820663"
"393","sent","?","1320820718"
"1108","sent","kid will pass for me","1333135828"
"652","sent","its in bumblefuck nowhere bro","1324875873"
"51","recieved","Go check out. Sharan-fun","1285965565"
"964","sent","select ""back printing"" and ""sticker robot"" for like $10 off","1329454703"
"267","sent","http://www24.zippyshare.com/v/68300149/file.html","1316664888"
"580","sent","when i leave this bitch ill be making 80k","1323667216"
"387","sent","id say 95 percent of the club loves me tho","1320820661"
"747","sent","get a team of faggots to do your shit","1327469540"
"1107","sent","https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-prn1/12961_1164984489145_1363863563_30527195_3674997_n.jpg","1333135825"
"651","recieved","holy fuck why so cheap","1324875789"
"50","sent","only notify me if eric prydz- with me is being droppedhttp://www.youtube.com/watch?v=OdfIDHhe4mc","1285938577"
"963","recieved","very good call","1329454590"
"266","recieved","SUP","1316664849"
"579","recieved","but i don't think its a good idea ","1323667215"
"386","sent","fuckers i get into drunk fights w/ that dont like me","1320820652"
"746","sent","you should become a business","1327469534"
"1106","sent","nigguh they aint gonna look super hard at the ID","1333135797"
"650","sent","with shipping and shit, 25","1324875779"
"49","recieved","THERE ARE SO MANY BANGERS ABOUT TO BE RELEASED YOU HAVE NO IDEA","1285916749"
"962","sent","http://stickerobot.com/","1329454463"
"265","sent","yo'","1316664826"
"578","recieved","oh yeah i was thinking about it man","1323667209"
"385","recieved","enemies like who","1320820632"
"745","sent","nice work","1327469525"
"1105","recieved","u sure they will give him the ticket tho?","1333135781"
"649","sent","i think above and beyond is going for 15","1324875774"
"48","recieved","wtf that long","1285734392"
"961","sent","niggus love that shit","1329454450"
"264","recieved","Nice","1315880194"
"577","sent","yeah dude","1323667206"
"384","recieved","its fuckin u of i's polish club","1320820625"
"744","sent","LOL","1327467291"
"1104","recieved","damn","1333135776"
"648","sent","i paid 57 for both tix, with shipping and fees","1324875762"
"47","sent","Nice ill have it in 5 mins","1285734358"
"960","sent","do stickers too bro","1329454444"
"263","sent","just picked up tix","1315870262"
"576","sent","take out loans and go to a college town","1323667196"
"383","sent","the thing is, i got enemies and shit you know?","1320820624"
"743","recieved","STFU","1327467285"
"1103","recieved","o shit its will call","1333135734"
"647","sent","uhh","1324875751"
"46","recieved","yea it been released today, i dont wanna download torrent or limewire so hop on the forums and holla back with a link","1285734317"
"959","recieved","and in that 1k i also wanna order some business cards for special promotion at edc","1329454362"
"262","recieved","i beter get a bj at the barn dance for this","1315630628"
"575","recieved","you think so?","1323667195"
"382","sent","im workin on it","1320820616"
"742","recieved","COMING SOON","1327467284"
"1102","sent","check out that list","1333135732"
"646","recieved","how much are they","1324875613"
"45","sent","Is it out?","1285734265"
"958","recieved","that is my plan ","1329454336"
"261","recieved","doing work on your flyer","1315630619"
"574","sent","you should do what i do though","1323667187"
"381","sent","yeah hes also a smelly jew, and so is his brother that i room w/","1320820606"
"741","sent","www.voygraphics.com","1327467284"
"1101","sent","http://dashberlinworld.com/profiles/blogs/giveaway-50x2-dash-berlin-chicago-congress-theatre","1333135730"
"645","sent","i got my tix for both","1324875569"
"44","recieved","I NEED DL LINK FOR WAYNES NEW EP","1285734216"
"957","sent","for 1k you can already make a decent ass edc trip","1329454304"
"260","sent","alright, heres some critiques:*18 to enter, 21 to drink is way too big,*facebook logo and tag is a little too big, make the tag on it ""for more info RSVP on facebook""*the sponsors band is ugly, get rid of it and stick voygraphics.com in the lower right corner. make wallys a little bigger and noticeable too, cuz that nigguhs donating a lot of kielbasa. try the signiature red wallys sign and check how it looks.*make it ""dj polski"" instead of just ""polski"". chicago polaks know whats up, but people just read ""polski"" and get confused. make him a little bigger too if you can spare it*try gettin rid of the black banner background, only on the left of Barn Dance though. the black patch looks kinda awkward, try leaving just the brown background*add some farmville lookin graphics? lol, im just messin.","1315587383"
"573","recieved","yea not a bad job","1323667164"
"380","recieved","dude if youre ever president i think youll actually do work","1320820604"
"740","recieved","LIKE FOLLOW EMAIL","1327467282"
"1100","sent","im gonna give my id to my buddy he gonna hit up will call","1333135701"
"644","sent","100% right about that","1324875561"
"43","sent","http://thepiratebay.org/torrent/5794830/Windows_7_Extreme_Edition_R1_32bit_By_Amit","1283409383"
"956","sent","i just bought piotr a bass clarinet though so im out $2 grand","1329454280"
"259","sent","alright, heres some critiques:*18 to enter, 21 to drink is way too big, make it smaller and pop it more in the corner","1315586786"
"572","sent","good shit","1323667154"
"379","recieved","he saw what i did with the flyer","1320820590"
"739","recieved","BITCH","1327467279"
"1099","sent","lol","1333135693"
"643","recieved","above and beyond > rusko","1324875533"
"42","sent","aww i seeif you're lookin for 7 though get a buddy to burn you a copy of this shithttp://www.win7extreme.project-os.org/it has an antivirus thatll kill anything","1283409260"
"955","sent","yee","1329454256"
"258","sent","maciejplato@gmail.com?","1315548035"
"571","recieved","hooked me up with a mac ","1323667153"
"378","sent","i seriously feel like im the only one pushin this whole shit","1320820583"
"738","recieved","voygraphics.com","1327467277"
"1098","sent","yeah nigguh i aint gonna use it","1333135692"
"642","sent","you comin to rusko show or above&beyond?","1324875391"
"41","recieved","I'll prolly reboot it after I back up my shit. I will be put of town til Wednesday or Tuesday. ","1283408974"
"954","recieved","sick ass price right","1329454245"
"257","sent","waiting for it go through","1315548031"
"570","sent","yeah","1323667152"
"377","recieved","straight up","1320820579"
"737","recieved","voygraphics.com","1327467273"
"1097","recieved","damn for real?","1333135683"
"641","sent","i teared up a little","1324875374"
"40","sent","lol nigga idk what you did to that shit, ive been downloading for years and torrents never fucked my shit up, but limewire fucked my shit up nasty style one time thoughpirate bay esp. is the safest oneim coming home for labor day weekend most likely friday night pick me up and ill fix your shit","1283408881"
"953","sent","damn 900 for 2 people","1329453961"
"256","recieved","i sent it","1315548007"
"569","recieved","got like 4 raises already while i been there","1323667145"
"376","sent","if not, then he can suck it","1320820567"
"736","recieved","voygraphics.com","1327467271"
"1096","sent","i aint gonna go","1333135667"
"640","sent","i know that shit was crazy","1324875369"
"39","recieved","Yo is there any fucking way of telling if a torreent is safe?  I was starting to download some cd by the killers. Next thing I know my computer is so fucked up that as soon as it boots up I can't even run the task manager or any other program. I was downloading from pirate bay idk if that makes any difference whereas to downloading from torrentz. Help a nigga out SOS message to champaign ","1283408689"
"952","recieved","make him do it","1329380124"
"255","recieved","gmail","1315547997"
"568","recieved","I'm on point with shit","1323667139"
"1240","recieved","i dont have time to make them theirs","1335388387"
"1288","recieved","i dont wanna jinx myself","1337496395"
"1528","sent","I do android, my buddys doing the iOS","1352919145"
"1672","sent","this new logic board, i get random screen crashes like every other day","1357447275"
"831","sent","you guys need a tumblr AT LEAST","1328588501"
"1167","recieved","ya","1335329569"
"1432","sent","for the weekend, you can park at the libarary parking i believe, i'll find details for you","1347600694"
"14","recieved","umm ighttt how much you droopin","1244406294"
"1047","sent","brb","1332266565"
"350","sent","whats ur email?","1320819396"
"519","sent","ill be in school","1323664561"
"1239","sent","dont make theirs better than mine","1335388000"
"1287","sent","being #1 would be the shit though","1337496370"
"230","recieved","jakos ","1315544712"
"1527","sent","Yeah nigguh","1352919139"
"1671","sent","they switched out logic board of my macbook pro, because a sensor wasn't working","1357447260"
"830","sent","but what i do know","1328588495"
"1166","sent","can i get a preev?","1335329553"
"1431","sent","1 slut guaranteed","1347600677"
"13","sent","my and my niggy got this new music project calledproJLektwe need a few logos and shit, the L has to be the inverse of the J and like infused together and shitcan you make that happen? we want like black and red and shit just make it look sexy","1244325543"
"1046","sent","chillin w./ piotrus","1332266564"
"349","recieved","send me what u got so far","1320819386"
"518","sent","damn 24th","1323664555"
"1238","sent","emails","1335387832"
"1286","sent","youll get editors pick or w/e for sure if you dont land first","1337496363"
"229","sent","hows it hangin","1315544692"
"1526","sent","Also, getting macbook pro yeee","1352919137"
"1670","recieved","i aint no geniouz","1357447245"
"829","sent","i can ask him for pointers if you want","1328588493"
"1165","sent","you the shit","1335328382"
"1430","recieved","and do you have a safe parking spot anywhere?","1347600667"
"12","recieved","HOLLLLLLA","1244318819"
"1045","recieved","the fuck u doin there","1332266554"
"348","sent","free t shirt and havin all ur u of i polish hoskis rockin it isnt enough?","1320819361"
"517","recieved","i think the 14","1323664517"
"1237","recieved","where she see urs","1335387822"
"1285","recieved","2nd place mofucka","1337496336"
"228","recieved","txt me","1315536979"
"1525","recieved","u know how to program for apps?","1352919114"
"1669","sent","aww","1357447243"
"828","recieved","hopefully this shit with isael will pop off","1328588393"
"1164","recieved","this is looking awesome","1335328358"
"1429","recieved","lined up for bjs when i get there","1347600650"
"11","sent","mam robotke dla ciebie dude hit me up when you got some time","1244256553"
"1044","sent","just flew into boston logan","1332266542"
"347","recieved","the only way ill design the shirts will be if 1) i get paid or 2) i get to put voygraphics on that bitch","1320819338"
"516","recieved","look it up","1323664514"
"1236","recieved","yea","1335387806"
"1284","sent","i got you babygirl","1337496330"
"227","recieved","txt ,e","1315536977"
"1524","sent","I'm doin broskis mobile app","1352919085"
"1668","recieved","nigga","1357447232"
"827","recieved","fucking young ass kid","1328588224"
"1163","sent","of you can do a spin off on it, just add the little flag into there","1335327386"
"1428","recieved","u better have like 2 u of i sluts","1347600645"
"10","recieved","i gotta plan it out cuz i got flyers to do every week and shit so i need to use it","1240889953"
"1043","sent","yeeee ill hit that in a lil","1332266537"
"346","sent","cmon man plz","1320819334"
"515","recieved","niggas","1323664510"
"1235","sent","haha joanna ask you about graphics?","1335387721"
"1283","recieved","OVER","1337496194"
"226","recieved","yo","1315536971"
"1523","recieved","ya","1352919060"
"1667","recieved","no i dont","1357447230"
"826","sent","idk stfu","1328588208"
"1162","sent","you can put a little solidarnosc logo for shits haha","1335327001"
"1427","recieved","nara","1347600640"
"9","sent","bring it by","1240889765"
"1042","recieved","DADA MUSICAL FREEDOM","1332266527"
"345","recieved","pierdol sie","1320819305"
"514","recieved","yea","1323664507"
"1234","sent","if i dont get him on board by later today, im just gonna span facebook w/ all of thsi shit","1335375985"
"1282","recieved","ALL ","1337496193"
"225","recieved","yo","1315536969"
"1522","sent","U ever hear about ragetracks.com?","1352918761"
"1666","sent","oh shit i wanna make an appointment with you","1357447223"
"825","recieved","who the fuck am i gonnna tell","1328588201"
"1161","sent","haha nah","1335326878"
"1426","sent","slodkich snow <3","1347600626"
"8","recieved","lol i need tracks + cleaned up computer","1240889513"
"1041","sent","yo yo","1332266509"
"344","recieved","lmao ","1320819301"
"513","sent","i got niggas there","1323664503"
"1233","recieved","homos","1335375960"
"1281","recieved","SHIT","1337496192"
"224","recieved","Cool cool","1315427975"
"1521","sent","I see voygraphics is hard at work though","1352918719"
"1665","recieved","yea nigga","1357447204"
"824","sent","low key on that def jam though","1328588177"
"1160","recieved","im just gonna write VOTE or DIE","1335326864"
"1425","sent","dobra dobranoc","1347600622"
"7","sent","go make a cd","1240889345"
"1040","recieved","yo","1332260535"
"343","sent","ill fwd you the ones we have OMG shitty as fuck","1320819301"
"512","sent","oh damn hes gonna be in mad town","1323664499"
