MessageID,MessageType,MessageBody,Timestamp
"841","recieved","i just saw ur status from a while ago","1324700268"
"1477","sent","yo wattup!","1329594483"
"1819","sent","it makes sense now that i take it slow","1331619363"
"2822","recieved","gotcha","1378169863"
"1668","recieved","FUUUU UUUU","1330152718"
"2329","recieved","i'm havin a beer right now lol","1347593581"
"2633","recieved","you still up bro?","1360831323"
"1820","recieved","forsure","1331619452"
"842","recieved","im not there dude, christmas is tmrw haha","1324700274"
"1475","sent","yeeee","1329416607"
"2075","sent","im working down in research park","1337561851"
"949","sent","fuck my apartment....","1326477854"
"2076","recieved","oh shit nigga. lets hang","1337561854"
"2823","recieved","i need to buy a laptop","1378169866"
"2330","sent","lol that i can do","1347593623"
"1478","recieved","whattup man","1329594491"
"843","recieved","but trust me, i wish i was","1324700278"
"2634","recieved","sup bro","1363148998"
"1821","recieved","just do it step by step and understand what it means","1331619457"
"950","recieved","lol... that sucks man","1326477860"
"1671","sent","man, youre takin that too far","1330152754"
"2824","sent","Mb air broo","1378170070"
"1670","recieved","i want sam to be the ground to my Vcc LOL.","1330152731"
"2635","sent","dying in bed witha gastrointestinal sickness","1363149049"
"1822","recieved","it's all logical","1331619460"
"2077","recieved","like right now.","1337561857"
"2331","sent","except i'm sick as shit","1347593628"
"844","recieved","im goin back tuesday","1324700280"
"1672","sent","lmaooooo","1330152759"
"951","sent","well, at least now i know what $225 a month will get me","1326477904"
"2825","sent","Unless you don't use osx. Get a surface pro or an asus vivo","1378170149"
"2636","recieved","wtf. what happened","1363149066"
"1823","sent","exactly","1331619483"
"1673","recieved","im just messin man","1330152796"
"2332","recieved","damn dude that's rough","1347593637"
"1479","sent","state farm is being a bitch","1329594587"
"845","sent","business or pleasure?","1324700289"
"952","sent","lmaooooo","1326477906"
"2078","recieved","fuck man i was getting wasted all weekend","1337561864"
"2826","sent","Zenbook**","1378170173"
"2637","sent","idk, i've ust been shitting a lot","1363149080"
"2333","sent","yeah, it's all good though","1347593647"
"1480","sent","yesterday i recieved an email ""You must complete online application TODAY""","1329594603"
"2079","sent","lol, i fuckin would man","1337561907"
"953","recieved","ahahaha","1326477923"
"1674","recieved","idk wtf i want","1330152798"
"2827","recieved","hmmm idk. i'll see","1378170195"
"2080","sent","but igas in town for one more night ;)","1337561912"
"846","recieved","business, and staying the rest of break","1324700311"
"2638","sent","going to mckinley tomorrrow","1363149090"
"2334","recieved","forsure","1347593699"
"1824","sent","i prefer it over calculus any day","1331619489"
"1675","sent","lol, idk either man","1330152848"
"847","recieved","my parents are goin to mexico","1324700316"
"1481","recieved","...","1329594611"
"954","recieved","should i text that one brunette girl btw?","1326477937"
"1482","recieved","i mean do what you can man","1329594615"
"2828","recieved","i wanna get an ubuntu specific laptop haha","1378170204"
"2639","recieved","lol i'm sorry that sounds funny","1363149090"
"1825","recieved","haha i love both man","1331619530"
"2081","recieved","ohhh lala haha","1337561918"
"2335","recieved","Yes or no answer quickly","1348536006"
"1483","recieved","let em bitch","1329594617"
"2829","sent","Looolz","1378170222"
"1676","recieved","fuuuu","1330152977"
"1826","sent","214 grades are up","1331698381"
"2336","sent","No","1348536105"
"955","sent","the hot austrian one?","1326477981"
"2640","recieved","dude, you're so full of shit right now :)","1363149100"
"2082","recieved","how long are you down here then?","1337561924"
"1677","sent","just chill nigguh","1330153126"
"1484","sent","bitch, thanks for telling me during our 3 phone converstations","1329594617"
"2830","sent","Man have you used osx tho? It's nice :)","1378170239"
"849","sent","ehh go to some bar at least or somethin","1324700343"
"2337","recieved","Guess I'm not running a mile today. Haha thanks man","1348536124"
"956","sent","yeah why not, wait like a day though","1326477991"
"2641","sent","haha i know, it kinda is","1363149101"
"1827","recieved","im aware","1331698390"
"1485","sent","i submitted it today and she can SMD","1329594629"
"848","recieved","and ill just be chillin on new years solo","1324700322"
"2083","recieved","all summer?","1337561925"
"1678","recieved","damn man","1330153335"
"957","sent","worst comes to worst, she ignores it and you forget about her lol","1326478009"
"2831","recieved","i have and meh haha","1378170274"
"1828","sent","howd you score?","1331698399"
"850","sent","my nye plans are virtually nonexistent","1324700351"
"1679","recieved","yeah imma go after sam","1330153339"
"2338","sent","Although I'm oblivious to the context lol","1348536130"
"2642","sent","hahahha","1363149107"
"2084","sent","yeah, i'll be here throughout","1337561934"
"958","sent","wait the hot austrian one or the one in the leather jacket?","1326478027"
"1486","recieved","haha exactly","1329594645"
"851","sent","ill probably just hit downtown","1324700357"
"3239","sent","i'm really busy with personal shit lately","1382475163"
"2535","recieved","that's good man","1360043872"
"2643","recieved","i hope you feel better tho man","1363149112"
"272","sent","me and my brother chillin before i head back :)","1313516740"
"1214","sent","dont even worry about shit","1328512328"
"3240","recieved","gotcha","1382475177"
"959","sent","leather jacket you could probably text tonight","1326478038"
"2644","sent","well, on a not-full of shit note","1363149118"
"2536","recieved","you ight?","1360043874"
"3241","recieved","well we should just do a mini mock interview","1382475188"
"1215","recieved","my friends can be shitheads","1328512331"
"273","recieved","ight dude. forsure","1313516746"
"960","recieved","leather jacket","1326478052"
"2537","sent","yeah man, suprisingly i feel good","1360043883"
"3242","recieved","if you have time between now and the next 2 weeks","1382475196"
"2645","sent","but i've go an offer from a mobile consulting firm in chicago, and microsoft is flying me out next week","1363149120"
"274","recieved","have fun","1313516748"
"1216","sent","baza is virtually indestrucatlbe lol","1328512345"
"2538","sent","she just feels pressure wheneer she's in a relationship","1360043895"
"961","recieved","the austrian ppl said they're drinking tonight so maybe i can get some free booze of em","1326478069"
"3243","sent","yeah we can do that","1382475214"
"2646","recieved","damn dude nice","1363149133"
"275","recieved","lets do lunch next tuesday dude?","1313516760"
"1217","recieved","lol","1328512351"
"962","sent","i was getting a douchey vibe off the dude, but thats okay","1326478094"
"2539","sent","now she's acting cool, like the iga i met 9 months ago, it's kinda weird","1360043917"
"3244","sent","it's for PM right?","1382475217"
"1218","sent","no for serious, you can do it here","1328512364"
"276","sent","im down, i dont have a meal plan so itll either be an apt dinner or somethin","1313516881"
"963","sent","he obviously felt that his chick wasnt as attatched to him as he hoped she would be","1326478133"
"2647","recieved","did i told you i took an offer?","1363149137"
"3245","sent","which product?","1382475223"
"1219","sent","fuckers kept me up till 4am, still no noise complaints","1328512379"
"2540","sent","but hey, life is weird","1360043924"
"964","recieved","yeah lol","1326478166"
"277","sent","peaceeeee","1313516882"
"2648","sent","goldman?","1363149143"
"2541","recieved","life is very weird","1360043931"
"3246","recieved","no idea yet haha","1382475241"
"965","recieved","i dont care tho. he invited me","1326478171"
"1220","sent","just tell them no needles/cocainie","1328512384"
"278","recieved","fosho. peace","1313516897"
"2649","recieved","yea...","1363149148"
"2542","sent","haha","1360043968"
"3247","sent","hahah fosh","1382475324"
"1221","recieved","i think if i did it there it would just be pregaming","1328512393"
"966","recieved","u free tonight tho?","1326478184"
"279","recieved","yo dude what up","1314028194"
"2650","recieved","wish i could do more hardware stuff. guess i'm not good enough","1363149154"
"2543","sent","my whole semester's been a mess of weird bro","1360043974"
"1222","recieved","i mean im tight with everyone at ur place and whatnot","1328512401"
"3248","sent","find that shit out asap!","1382475328"
"967","sent","i was planning on staying home and trying to be productive, but i know thats impossible","1326478216"
"280","sent","yo yo yo","1314028206"
"2651","sent","sheeit sold your soul lol","1363149164"
"3249","recieved","how can i find out?","1382475352"
"2544","sent","now i can get back on my grind","1360043983"
"1223","recieved","then probably hit the bars","1328512406"
"968","sent","yeah fuck it, lets hit them up","1326478239"
"281","sent","20 mins late to first class lol","1314028212"
"3250","sent","you'll know once they schedule you","1382475393"
"2545","recieved","yeah dude get on that work","1360044001"
"1224","sent","hell yeah im down","1328512417"
"2652","recieved","haha yupp","1363149168"
"969","sent","i might bring pawel along if he gets here, its his birthday i believe","1326478253"
"3251","recieved","gotcha","1382475404"
"2653","sent","nah, kids would kill for an opportunity like that dude","1363149176"
"2546","sent","interviews with facebook","1360044020"
"282","recieved","...","1314028216"
"1225","sent","i havnt drank in a while so itll be my apt crawl warm up too","1328512432"
"970","recieved","np.","1326478262"
"3252","recieved","going to remdond the 22nd woo","1382662123"
"2654","sent","you doin good!","1363149185"
"2547","sent","hopefully palantir and microsoft","1360044025"
"971","recieved","i just need some back up. i dont know what im getting myself into","1326478271"
"1226","sent","gotta prime the liver!","1328512437"
"3253","sent","yeeee!!!!","1382662214"
"2655","recieved","meh i'm not kids :)","1363149213"
"283","sent",":)","1314028221"
"1227","recieved","forsurree","1328512443"
"2548","sent","gonna finish the rest of my apps this week","1360044030"
"972","sent","lol true that","1326478313"
"284","recieved","dude gimme your number for some reason i dont have it","1314028223"
"3254","recieved","mp5 is going to be the end of me man","1382745950"
"285","sent","7738079097","1314028235"
"1228","recieved","idk nothings forsure yet","1328512456"
"2656","recieved","did you take cs 411 btw?","1363149218"
"2549","recieved","nice nice","1360044063"
"973","sent","i love adventures :)","1326478329"
"3255","recieved","i swear.","1382745952"
"286","recieved","you drinkin tonight?","1314028243"
"2550","sent","whatr you doin for summer?","1360044155"
"2657","sent","no","1363149225"
"974","recieved","do i know pawel btw?","1326478346"
"3256","recieved","yo maciek, wht up","1383664809"
"1229","recieved","wanna help me set up an event? then we'll forsure get nuts haha","1328512468"
"287","sent","hell no, i got shit to take care of son","1314028253"
"2551","recieved","had two interviews. dunno yet","1360044170"
"2658","sent","my plan is next semester","1363149231"
"3257","recieved","i have a question for you","1383664812"
"1230","sent","OH FUCK! i gotta make the apt crawl event too...","1328512510"
"288","recieved","haha alright man","1314028272"
"975","sent","probably not, short polski broski","1326478361"
"2552","recieved","i really need to find a job tho","1360044173"
"976","recieved","no idea.","1326478380"
"3258","sent","lemme hear it","1383664840"
"2659","sent","wanna hit it?","1363149233"
"1231","sent","yeah we'll do it toorrow in grainger","1328512516"
"289","sent","among other things, i need to buy an i clicker, mine is ghetto and bootlegged","1314028273"
"2553","sent","yeah mayne i feel that grind","1360044203"
"2660","recieved","damn. i'm thinkin about it","1363149238"
"1232","recieved","ight sounds good","1328512526"
"977","recieved","well ill text em later tonight and see whats up then ill let you know","1326478431"
"3259","sent","doin 473 bright and early lolz","1383664850"
"2554","recieved","forsure","1360044273"
"3260","recieved","hell yeah haha","1383664863"
"978","sent","fshoo","1326478444"
"2661","recieved","that or geology 107 haha","1363149243"
"1233","sent","i gtg sleep, find a good picture for the fb event lol","1328512529"
"290","recieved","dude same here my shits broken","1314028284"
"3261","recieved","i'm thinkin of retaking 173... do you think that class is easy now?","1383664881"
"2555","recieved","right now analog devices or goldman sachs","1360044280"
"2662","sent","fuck that!","1363149252"
"979","recieved","dooooood","1326778125"
"1234","sent","peace","1328512531"
"291","recieved","so is my calc","1314028286"
"2832","sent","EhhTo each their own, I suppose","1378170317"
"3331","recieved","i think the 4th interview will play the largest role though","1385321407"
"1680","recieved","idk if she'll like me tho","1330153343"
"2556","recieved","we'll see","1360044281"
"487","sent","i got  a lot of shit done at least ","1320602994"
"3109","sent",":)","1381193639"
"2339","sent","Haha, it's monday, you deserve a break","1348536148"
"2704","recieved","forsure","1365666270"
"2833","recieved","haha yeah","1378170337"
"2382","recieved","i led her on enough till her friend took my bro to the girls bathroom and gave him a blowie","1352970344"
"2557","sent","yee","1360044379"
"1681","recieved","im too lame","1330153345"
"2340","recieved","Lol of course","1348536159"
"3332","recieved","didn't get it my man :/","1385443916"
"852","recieved","my sisters takin me back to school","1324700391"
"488","sent","howd ur weekend go?","1320602999"
"3110","recieved","i need a job :/","1381193648"
"616","sent","thats my impression now, at least","1322369199"
"2705","recieved","song is dope too","1365666273"
"617","recieved","i guess ull see how u like it more after an internship or two","1322369215"
"2834","recieved","thanks for the intro to claudia btw. she's actually helpful","1378170380"
"2341","sent","Seeing as these ews machines are undergoing serious maintenance, I deserve one too lol","1348536207"
"2383","recieved","it's all good in the hood niggah","1352970350"
"2558","sent","i thought i was gonna be all sad and shit, i had a bottle of wine ready","1360044395"
"3333","recieved","i did try my best","1385443919"
"853","recieved","im just gonna buy a ton of beer and drink","1324700396"
"1682","sent","lol just dont act thursty u fuck","1330153401"
"489","recieved","it was real good","1320603017"
"3111","recieved","and i can't find one i want haha","1381193652"
"2384","sent","loool you a nig","1352970378"
"618","sent","yee","1322369224"
"2835","sent","Yeah she can do some things lol","1378170522"
"2706","sent","yeee","1365666303"
"2342","sent","You comin to barn dizzle?","1348536221"
"2559","sent","but i'm feelin good man, it's strange ","1360044406"
"854","sent","lol, sounds like a plan","1324700413"
"3334","sent",":(It's okay man!","1385443981"
"490","recieved","even got a lot of work done","1320603029"
"1683","recieved","am i ever?","1330153411"
"3112","sent","Hustle nigguh","1381193731"
"619","recieved","this songs stuck in my head for weeks now","1322369249"
"2836","sent","Np you both my niggas!! :)","1378170534"
"2707","sent","fuck i need to get my phone replaced","1365666311"
"2385","sent","what bar?","1352970380"
"2560","sent","lol","1360044407"
"491","recieved","doin more now...","1320603031"
"2343","recieved","Lol I wanna man. Don't know many people tho","1348536284"
"620","recieved","http://www.youtube.com/watch?v=cimoNqiulUE&ob=av2e","1322369250"
"855","sent","something about this holiday season is a little bit off","1324700423"
"3335","sent","I jusr go to harvard","1385443992"
"3113","sent","Haha","1381193733"
"2837","recieved","hahah forsure. yeah she cool. ","1378170678"
"2386","recieved","lion bro","1352970434"
"2344","sent","Damn, think about it","1348536424"
"2708","sent","this bitch shuts off randomly","1365666317"
"621","sent","haha","1322369305"
"1684","sent","obviously she chills w/ you so you cant be that lame","1330153414"
"3336","recieved","huh?","1385444038"
"2561","recieved","haha maybe it's what you needd idk","1360044432"
"1685","recieved","idk man","1330153426"
"492","sent","samesies","1320603047"
"3114","recieved","i feel like quittin","1381193741"
"856","sent","i just got tickets for rusko and above and beyond in february, so i bought myself a little christmas present","1324700468"
"2345","sent","I'm trying to finalize everything so that day-of I have no worries kol","1348536451"
"2838","recieved","damn i'm so hungry","1378170688"
"2709","recieved","sucks man","1365666321"
"622","sent","me and my music-majoring brother have been dissecting the new album","1322369324"
"857","recieved","nice nice","1324700475"
"3337","recieved","and hopefully i was meant to be a banker, cuz i don't have much else goin right now","1385444049"
"2562","recieved","needed*","1360044435"
"2839","sent","Me too :( siebel tho","1378170887"
"3115","sent","Naw","1381193777"
"493","sent","diff eq time, im gonna peace out","1320603056"
"2387","sent","aww that's my favorite on weekdays","1352970502"
"2388","sent","shit goes down there1","1352970506"
"2710","sent","it's a shame, really","1365666349"
"3338","recieved","hey man","1386991533"
"2563","sent","lol maybe man","1360044441"
"2840","recieved","haha sucks bro","1378170924"
"3116","sent","Noone likes a quitter","1381193785"
"1687","recieved","i really enjoyed hanging out with her","1330153438"
"2389","sent","!","1352970507"
"1686","recieved","she was reallly cool last weekend","1330153433"
"2347","recieved","haha i just wanna have a group i can go party with otherwise it'll be lame","1348537034"
"2711","sent","works perfectly otherwise. o well","1365666354"
"623","sent","the favorite right now is cameras","1322369335"
"2346","sent","Lol","1348536454"
"3339","sent","yo wattup","1386991624"
"2564","sent","hopefully","1360044443"
"2390","recieved","lol it was nuts","1352970621"
"2841","recieved","goin out tonight bro?","1378509314"
"858","sent","now i gotta figure out how to unlock this blackberry","1324700479"
"624","recieved","haha i gotta meet ur bro","1322369411"
"859","recieved","yea idk, i haven't cared for christmas in a long time","1324700483"
"3117","recieved","no one likes me haha","1381193847"
"1688","sent","well then maybe, if youre good, youll get a repeat","1330153452"
"2565","recieved","you got lots of good friends haha","1360044556"
"2712","recieved","damn","1365666397"
"494","recieved","later man","1320603098"
"495","sent","yo","1320892600"
"860","recieved","you'll have to beg the carrier basically haha","1324700490"
"3340","recieved","just wanted to let you know i got a job man","1386991677"
"2348","recieved","sup bro","1352690656"
"2842","sent","Polish party in urbana bro","1378509340"
"625","recieved","and i havent heard cameras yet","1322369465"
"2391","recieved","i gotta pass out tho","1352970624"
"1689","sent","just relax bro","1330153487"
"3118","sent","Lol gtfo","1381193866"
"2349","sent","nm bro siebel","1352690689"
"2713","recieved","i need to g to bed lol","1365666400"
"2566","recieved","you'll be good","1360044558"
"3341","recieved","and i appreciated the help with microsoft. meant a lot","1386991697"
"861","sent","i know, its such bullshit","1324700506"
"2843","sent","801 nevada","1378509345"
"497","recieved","nope tmrw","1320892623"
"2392","recieved","peace niggy","1352970625"
"1690","sent","you cant base yourself around one girl","1330153496"
"496","sent","you register for classes yet?","1320892605"
"862","sent","either that, or drop $5 on an unlock code online","1324700517"
"626","sent","bro, check out spotify","1322369487"
"3119","sent","You a cool ass nig :)","1381193878"
"2714","sent","lool","1365666405"
"3342","sent","ahha nice dude, i'm glad you got something. where you gonna be?","1386991710"
"2350","sent","doin werk","1352690691"
"2844","recieved","ah gotcha","1378509346"
"2567","sent","haha, thanks man","1360045941"
"2393","sent","peace peace","1352970693"
"1691","recieved","i know man im just drunk and tired","1330153597"
"498","recieved","u?","1320892627"
"863","sent","its such bullshit how noone has released the algorithm yet","1324700530"
"627","sent","i dont even download music anymore","1322369496"
"3120","recieved","i don't feel that way right now","1381193891"
"2715","sent","gnight","1365666410"
"3343","recieved","investment banking analyst at Citi in Chicago","1386991721"
"2568","sent","on to the next one :D","1360045955"
"2394","recieved","sup bro","1357534367"
"2351","recieved","dude that place blows haha","1352690726"
"1692","sent","lol bullshit","1330153608"
"2845","recieved","haha idk anyone there man","1378509358"
"499","sent","yeah, 940 am","1320892770"
"628","recieved","im in linux lol","1322369511"
"3121","sent","Sheeit nigguh","1381194517"
"2352","sent","lool i love it","1352690786"
"3344","recieved","great team to get experience for the summer. and the money is amazing","1386991732"
"2569","recieved","lol i wish i could find the first one :p","1360045967"
"864","sent","its just a calculation of your hardware number","1324700542"
"2846","sent","Lol I'm excited to see what these freshies can handle","1378509398"
"2716","recieved","pce","1365666508"
"1693","sent","go sleep nigguh","1330153614"
"500","recieved","nice","1320892814"
"2395","sent","","1357534444"
"865","sent","theres some software unlocks, but i dont wanna mess with my entire root directory","1324700592"
"2847","recieved","lol be nice","1378509449"
"3345","sent","yee gj niggy :D","1386991984"
"629","recieved","to have spotify on here u gotta have a paid account","1322369524"
"2396","sent","Chillin","1357534445"
"2570","sent","it's not easy man","1360046002"
"3122","sent","Brighten up, good things will come","1381194518"
"2717","sent","yo, if you could click my polish homeboys, GateKrashers, that'd be dope","1366151677"
"1694","sent","im goin to bed too peace","1330153720"
"2353","recieved","haha damn CS kids!","1352690821"
"866","recieved","yeah dont don that","1324700719"
"2571","sent","you know where i met iga?","1360046005"
"3346","recieved","thanks man. i'm a summer six figga nigga haha","1386992002"
"630","sent","lol, nope","1322369579"
"3123","recieved","we'll see","1381194671"
"2354","sent","hell yeah! beastin!","1352690840"
"2848","recieved","goddam i've only gone out once this semester. pathetic","1378509476"
"2397","recieved","I'll write that book for you","1357534464"
"2718","sent","https://www.facebook.com/questions/512460952135549/","1366151679"
"502","sent","shit, how does that work?","1320892886"
"631","sent","thats what they tell you, but thats not truly the case","1322369587"
"1695","recieved","pce","1330153733"
"2572","sent","a funeral.","1360046010"
"3124","recieved","You think you can do a side job niggy?","1381287125"
"501","recieved","im in the afternoon","1320892818"
"3347","recieved","pro rated :p","1386992021"
"2849","recieved","survive last night?","1378606945"
"2398","sent","Coding lol","1357534464"
"2355","recieved","lol. you know you miss everitt","1352690855"
"2719","recieved","yo niggy u up?","1366275106"
"1696","recieved","you back nigguh?","1330311292"
"867","recieved","id just drop the $5","1324700724"
"2850","sent","Lol barely","1378607211"
"503","sent","bitches be crazy.","1320892888"
"632","sent","every hour the ads will make you restart, thats it","1322369597"
"3348","sent","whaa that's nuts!","1386994707"
"2573","recieved","wtf","1360046024"
"868","recieved","yoooo","1325229602"
"3125","sent","hmm depends on the task lolz","1381287227"
"2399","recieved","""Be Rod 'TheFineAss' Serna.""","1357534492"
"2720","sent","yo whatas good","1366275567"
"1697","sent","hell yeah","1330311349"
"2356","sent","hah","1352691567"
"2851","recieved","haha drinkin again tonight?","1378607511"
"3349","sent","dman nigguh","1386994709"
"2574","recieved","i'm sorry that's just different","1360046031"
"504","recieved","idk, shit i guess","1320892897"
"3126","sent","what's goin on","1381287231"
"2400","recieved","haha jokes","1357534496"
"633","sent","then again, i have one of the earlier free accounts, with less restrictions","1322369625"
"1698","recieved","wooohooo","1330311359"
"2852","sent","Lol naw fuck that","1378607534"
"2357","sent","fuck that!","1352691569"
"634","sent","but it should still be usable","1322369632"
"2401","sent","Hahahah","1357534499"
"2721","recieved","got fucked uppp","1366275763"
"3350","recieved","yeah i couldn't believe it when i saw the number","1386994783"
"3127","recieved","need some graphs my man","1381287241"
"2575","sent","lol yeah","1360046569"
"2358","recieved","duuude","1352969389"
"2853","sent","I got destroyed last night","1378607549"
"869","sent","yo wattup!","1325229619"
"2576","recieved","damn i'm tired man haha","1360047522"
"870","recieved","drunk as fuck man","1325229631"
"635","recieved","nah the problem is linux doesnt have a good way to put ads on so u cant have a free account","1322369669"
"2722","sent","lmao good shit","1366275780"
"3351","recieved","saw sooo many polish people today","1388035156"
"2359","sent","yo nig","1352969524"
"505","recieved","u takin 210 next semester btw?","1320892901"
"2402","sent","This book is smart as hell","1357534536"
"3128","recieved","some custom shit","1381287256"
"871","sent","you doin in chambana""?","1325229632"
"1700","sent","lol dont worry nigguh","1330311425"
"2723","recieved","hooked up with some chick and left she ain't too happy haha. but she said i could leave so whatever","1366275780"
"2854","recieved","haha gotcha","1378607555"
"506","sent","yup, ece 500 (290+210)","1320892922"
"3352","recieved","and merry christmas man","1388035159"
"872","sent","nice! bars?","1325229641"
"2403","sent","Though I am not impressed by the bit manipulation chapter lol","1357534555"
"2577","recieved","dude we didn't get food this weekend >.>","1360809922"
"507","recieved","nice nice","1320892928"
"2360","recieved","so drunk","1352969531"
"3262","recieved","i really wanna get an A in it next semester and would need your help haha","1383664894"
"980","sent"," yo wattup","1326779321"
"2855","recieved","damn i feel so lame bro","1378607559"
"395","recieved","http://www.facebook.com/dominika.ciasnocha","1317096177"
"2663","sent","big data is the future broo","1363149260"
"1829","recieved","when do we know our semester grade?","1331698403"
"636","recieved","some shit like that","1322369671"
"2404","recieved","haha that's good shit man","1357534585"
"1235","recieved","haha ight peace","1328512536"
"2724","sent","where at","1366275786"
"3353","sent","Haha, I'm getting sick of em already. You too brokski, merry xmas!!!!","1388038455"
"981","sent","you still wanna go mall this week?","1326779326"
"1147","recieved","ight","1327537699"
"2856","sent","I streAked on the quad","1378607565"
"3263","sent","dude, i'm not the guy to go for that. next semester i'm all about chillin, relaxin, and taking bullshit cs electives lolz","1383664964"
"1148","sent","back","1327538293"
"1830","recieved","and not well because i took it in 65 min","1331698409"
"396","sent","oh ciacho","1317096194"
"1236","recieved","nigguh. you in grainger?","1328590941"
"1487","sent","i assumed that since she called me for an interview after two days that im set","1329594646"
"2405","sent","I kinda wanna be back on campus already, that first week mayne!","1357534598"
"2664","recieved","i guess","1363149270"
"3354","recieved","yo yo","1388532562"
"982","recieved","already went man","1326779333"
"508","recieved","we should coordinate labs and stuff","1320892934"
"3264","sent","i honestly don't understand the material all that well, tbh","1383664981"
"2857","recieved","bullshit","1378607573"
"1149","recieved","ight","1327538433"
"1699","recieved","lol sorry for messaging you drunk as hell","1330311419"
